panel,kind,node,display_id,status,estimand,source,target,type,case_id,source_locator,comparator_increment,evaluation_mode,user_outcome,action,review_trigger
A,node,measurement_meaning,N1,PARTIAL,"w(t), b, q",,,,,,,,,,
A,node,estimator_robustness,N2,PARTIAL,five q definitions and four DTW objectives,,,,,,,,,,
A,node,empirical_library_resampling_stability,N3,PARTIAL,relative and absolute shared-reference variance fractions under empirical-library resampling,,,,,,,,,,
A,node,session_persistence,N9,NOT_TESTED,test-retest persistence,,,,,,,,,,
A,node,trace_derived_estimation,N4,AVAILABLE,"post-trial computation of w(t), b, q",,,,,,,,,,
A,node,eeg_fnirs_increment,N6,NO_DEMONSTRATED_INCREMENT,incremental prediction of q,,,,,,,,,,
A,node,absolute_q_calibration,N5,PARTIAL,held-out q prediction,,,,,,,,,,
A,node,signed_proximal_correction,N7,PARTIAL,held-out reference-trace MAE after constant signed shift,,,,,,,,,,
A,node,downstream_user_utility,N8,NOT_TESTED,"interactive benefit, harm, workload, or decision quality",,,,,,,,,,
A,node,reference_representativeness_equity,N10,NOT_TESTED,"reference-group coverage, subgroup error, and transportability",,,,,,,,,,
A,node,retention_and_transfer,N11,NOT_JUSTIFIED,"durable retention, transfer, and consequential use",,,,,,,,,,
A,edge,,,,,measurement_meaning,trace_derived_estimation,supports,,,,,,,
A,edge,,,,,measurement_meaning,absolute_q_calibration,supports,,,,,,,
A,edge,,,,,measurement_meaning,signed_proximal_correction,supports,,,,,,,
A,edge,,,,,estimator_robustness,empirical_library_resampling_stability,requires,,,,,,,
A,edge,,,,,empirical_library_resampling_stability,absolute_q_calibration,supports,,,,,,,
A,edge,,,,,empirical_library_resampling_stability,eeg_fnirs_increment,supports,,,,,,,
A,edge,,,,,trace_derived_estimation,signed_proximal_correction,requires,,,,,,,
A,edge,,,,,reference_representativeness_equity,retention_and_transfer,blocks_deployment,,,,,,,
A,edge,,,,,signed_proximal_correction,downstream_user_utility,does_not_license,,,,,,,
A,edge,,,,,absolute_q_calibration,downstream_user_utility,does_not_license,,,,,,,
A,edge,,,,,eeg_fnirs_increment,trace_derived_estimation,does_not_license,,,,,,,
A,edge,,,,,session_persistence,retention_and_transfer,blocks_deployment,,,,,,,
A,edge,,,,,downstream_user_utility,retention_and_transfer,blocks_deployment,,,,,,,
A,edge,,,,,signed_proximal_correction,retention_and_transfer,does_not_license,,,,,,,
B,walkthrough,,,,,,,,signed_calibration,results/evidence_traceability.json#signed_proximal_correction,SUPPORTED,PROXY_ONLY,PROXIMAL_ONLY,RUN_PREREGISTERED_USER_STUDY,"Re-review before deployment and after preregistering a smallest worthwhile improvement, degradation limit, and consequential endpoint."
